ID,SalePrice
1461,127409.336
1462,146207.94
1463,184341.11
1464,199605.2
1465,183894.94
1466,178155.34
1467,167877.16
1468,161965.73
1469,197886.48
1470,125611.09
1471,190159.0
1472,97665.68
1473,103719.17
1474,149077.69
1475,112358.6
1476,308652.34
1477,214142.48
1478,234715.38
1479,229477.05
1480,447059.72
1481,303950.88
1482,190912.89
1483,150045.31
1484,155461.31
1485,160099.23
1486,206307.38
1487,327331.78
1488,233732.33
1489,175387.97
1490,224655.38
1491,177812.48
1492,93211.55
1493,163902.61
1494,272547.4
1495,264036.3
1496,226409.58
1497,187882.98
1498,156387.12
1499,152944.86
1500,142742.6
1501,174001.83
1502,134447.3
1503,240418.33
1504,232633.77
1505,215349.95
1506,189872.14
1507,266934.75
1508,178722.02
1509,154378.78
1510,141825.72
1511,140257.38
1512,166367.03
1513,158353.14
1514,146520.6
1515,198583.14
1516,144328.27
1517,162173.47
1518,144174.61
1519,225229.64
1520,138622.42
1521,138230.86
1522,168790.58
1523,120574.69
1524,125617.32
1525,129266.5
1526,124175.86
1527,115871.63
1528,135551.66
1529,142858.1
1530,174994.0
1531,95210.195
1532,101998.64
1533,135480.06
1534,121420.74
1535,154121.95
1536,111948.52
1537,68864.914
1538,159983.55
1539,188581.48
1540,100277.2
1541,137424.72
1542,134392.05
1543,199258.3
1544,89363.7
1545,108307.484
1546,121870.85
1547,120084.0
1548,132076.9
1549,114208.984
1550,123497.734
1551,114739.56
1552,137450.67
1553,148126.78
1554,119272.51
1555,160599.89
1556,93222.74
1557,114243.74
1558,92030.06
1559,73324.99
1560,130411.12
1561,136437.61
1562,135498.16
1563,118125.79
1564,154276.2
1565,143055.08
1566,209824.23
1567,74613.2
1568,200487.94
1569,150114.72
1570,142803.05
1571,122313.195
1572,147342.7
1573,236365.5
1574,128262.49
1575,207504.53
1576,235417.27
1577,175580.9
1578,138072.22
1579,142285.66
1580,195269.98
1581,149395.92
1582,125351.414
1583,316690.12
1584,237649.11
1585,143063.0
1586,68299.36
1587,95684.266
1588,152979.02
1589,97474.086
1590,133594.28
1591,95163.36
1592,120515.36
1593,119383.91
1594,135799.33
1595,110762.734
1596,217775.86
1597,179918.94
1598,186154.22
1599,173750.45
1600,168911.22
1601,59764.668
1602,114261.4
1603,77936.74
1604,272393.56
1605,223358.86
